EP00001,Tran Huynh Thai Toan,12345678,ton1357@gmail.com,123456,SALES,0,1/1/2024,,
EP00002,Nguyen Cam Tu,13562235,nguyencamtuHDBS@gmail.com,123456,SALES,0,1/1/2023,IN00002,IN00003
EP00003,Cristiano Ronaldo,789789789,cristiano7725@gmail.com,123456,SALES,0,1/1/2022,IN00001,IN00002
EP00004,Tran Huynh Thai Toan,12345678,ton1357@gmail.com,123456,SALES,0,1/1/2024,,
EP00005,Nguyen Cam Tu,13562235,nguyencamtuHDBS@gmail.com,123456,SALES,0,1/1/2023,IN00002,IN00003
EP00006,Cristiano Ronaldo,789789789,cristiano7725@gmail.com,123456,SALES,0,1/1/2022,IN00001,IN00002
EP00007,Tran Huynh Thai Toan,12345678,ton1357@gmail.com,123456,SALES,0,1/1/2024,,
EP00008,Nguyen Cam Tu,13562235,nguyencamtuHDBS@gmail.com,123456,SALES,0,1/1/2023,IN00002,
EP00009,Cristiano Ronaldo,789789789,cristiano7725@gmail.com,123456,SALES,0,1/1/2022,IN00001,IN00002
EP00010,Tran Huynh Thai Toan,12345678,ton1357@gmail.com,123456,SALES,0,1/1/2024,,
EP00011,Nguyen Cam Tu,13562235,nguyencamtuHDBS@gmail.com,123456,SALES,0,1/1/2023,IN00002,
EP00012,Cristiano Ronaldo,789789789,cristiano7725@gmail.com,123456,SALES,0,1/1/2022,IN00001,IN00002
